SYMBOL,INTERVAL NO. 1,INTERVAL NO. 2,INTERVAL NO. 3,INTERVAL NO. 4,INTERVAL NO. 5,INTERVAL NO. 6,INTERVAL NO. 7,INTERVAL NO. 8,INTERVAL NO. 9,INTERVAL NO. 10,MAX FREQ.
20MICRONS,"(41.0, 42.5, 49)","(42.5, 44.0, 26)","(44.0, 45.5, 264)","(45.5, 47.0, 491)","(47.0, 48.5, 440)","(48.5, 50.0, 823)","(50.0, 51.5, 685)","(51.5, 53.0, 508)","(53.0, 54.5, 107)","(54.5, 56.0, 5)","(48.5, 50.0, 5)"
21STCENMGM,"(32.0, 33.5, 13)","(33.5, 35.0, 5)","(35.0, 36.5, 80)","(36.5, 38.0, 15)","(38.0, 39.5, 29)","(39.5, 41.0, 20)","(41.0, 42.5, 56)","(42.5, 44.0, 38)","(44.0, 45.5, 19)","(45.5, 47.0, 12)","(35.0, 36.5, 12)"
3IINFOTECH,"(4.0, 4.3, 42)","(4.3, 4.6, 351)","(4.6, 4.9, 501)","(4.9, 5.2, 956)","(5.2, 5.5, 1261)","(5.5, 5.8, 301)","(5.8, 6.1, 319)","(6.1, 6.4, 0)","(6.4, 6.7, 0)","(6.7, 7.0, 0)","(5.2, 5.5, 0)"
3MINDIA,"(18989.0, 19257.2, 195)","(19257.2, 19525.4, 81)","(19525.4, 19793.6, 177)","(19793.6, 20061.8, 211)","(20061.8, 20330.0, 343)","(20330.0, 20598.2, 1040)","(20598.2, 20866.4, 701)","(20866.4, 21134.6, 163)","(21134.6, 21402.8, 19)","(21402.8, 21671.0, 1)","(20330.0, 20598.2, 1)"
3PLAND,"(13.0, 13.2, 0)","(13.2, 13.4, 3)","(13.4, 13.6, 6)","(13.6, 13.8, 7)","(13.8, 14.0, 11)","(14.0, 14.2, 22)","(14.2, 14.4, 11)","(14.4, 14.6, 7)","(14.6, 14.8, 1)","(14.8, 15.0, 4)","(14.0, 14.2, 4)"
5PAISA,"(305.0, 325.5, 148)","(325.5, 346.0, 579)","(346.0, 366.5, 541)","(366.5, 387.0, 159)","(387.0, 407.5, 35)","(407.5, 428.0, 30)","(428.0, 448.5, 31)","(448.5, 469.0, 89)","(469.0, 489.5, 283)","(489.5, 510.0, 55)","(325.5, 346.0, 55)"
63MOONS,"(79.0, 82.6, 301)","(82.6, 86.2, 564)","(86.2, 89.8, 419)","(89.8, 93.4, 579)","(93.4, 97.0, 618)","(97.0, 100.6, 811)","(100.6, 104.2, 207)","(104.2, 107.8, 159)","(107.8, 111.4, 53)","(111.4, 115.0, 26)","(97.0, 100.6, 26)"
8KMILES,"(646.0, 666.6, 53)","(666.6, 687.2, 613)","(687.2, 707.8, 942)","(707.8, 728.4, 591)","(728.4, 749.0, 737)","(749.0, 769.6, 238)","(769.6, 790.2, 225)","(790.2, 810.8, 172)","(810.8, 831.4, 161)","(831.4, 852.0, 17)","(687.2, 707.8, 17)"
A2ZINFRA,"(19.0, 20.7, 11)","(20.7, 22.4, 127)","(22.4, 24.1, 76)","(24.1, 25.8, 175)","(25.8, 27.5, 808)","(27.5, 29.2, 1220)","(29.2, 30.9, 748)","(30.9, 32.6, 219)","(32.6, 34.3, 116)","(34.3, 36.0, 180)","(27.5, 29.2, 180)"
AARTIDRUGS,"(498.0, 509.3, 122)","(509.3, 520.6, 183)","(520.6, 531.9, 186)","(531.9, 543.2, 174)","(543.2, 554.5, 288)","(554.5, 565.8, 596)","(565.8, 577.1, 463)","(577.1, 588.4, 434)","(588.4, 599.7, 149)","(599.7, 611.0, 142)","(554.5, 565.8, 142)"
AARTIIND,"(1052.0, 1082.8, 134)","(1082.8, 1113.6, 102)","(1113.6, 1144.4, 211)","(1144.4, 1175.2, 1157)","(1175.2, 1206.0, 421)","(1206.0, 1236.8, 88)","(1236.8, 1267.6, 164)","(1267.6, 1298.4, 60)","(1298.4, 1329.2, 1096)","(1329.2, 1360.0, 234)","(1144.4, 1175.2, 234)"
AARVEEDEN,"(39.0, 40.3, 63)","(40.3, 41.6, 118)","(41.6, 42.9, 62)","(42.9, 44.2, 331)","(44.2, 45.5, 350)","(45.5, 46.8, 431)","(46.8, 48.1, 202)","(48.1, 49.4, 68)","(49.4, 50.7, 53)","(50.7, 52.0, 19)","(45.5, 46.8, 19)"
ABAN,"(155.0, 158.1, 219)","(158.1, 161.2, 465)","(161.2, 164.3, 664)","(164.3, 167.4, 573)","(167.4, 170.5, 379)","(170.5, 173.6, 514)","(173.6, 176.7, 549)","(176.7, 179.8, 219)","(179.8, 182.9, 121)","(182.9, 186.0, 49)","(161.2, 164.3, 49)"
ABB,"(1220.0, 1253.0, 74)","(1253.0, 1286.0, 1091)","(1286.0, 1319.0, 1073)","(1319.0, 1352.0, 401)","(1352.0, 1385.0, 305)","(1385.0, 1418.0, 145)","(1418.0, 1451.0, 336)","(1451.0, 1484.0, 59)","(1484.0, 1517.0, 105)","(1517.0, 1550.0, 153)","(1253.0, 1286.0, 153)"
ABBOTINDIA,"(5305.0, 5443.5, 330)","(5443.5, 5582.0, 323)","(5582.0, 5720.5, 513)","(5720.5, 5859.0, 590)","(5859.0, 5997.5, 37)","(5997.5, 6136.0, 60)","(6136.0, 6274.5, 788)","(6274.5, 6413.0, 494)","(6413.0, 6551.5, 168)","(6551.5, 6690.0, 19)","(6136.0, 6274.5, 19)"
ABCAPITAL,"(144.0, 146.5, 106)","(146.5, 149.0, 441)","(149.0, 151.5, 275)","(151.5, 154.0, 448)","(154.0, 156.5, 598)","(156.5, 159.0, 884)","(159.0, 161.5, 697)","(161.5, 164.0, 155)","(164.0, 166.5, 91)","(166.5, 169.0, 59)","(156.5, 159.0, 59)"
ABFRL,"(134.0, 136.5, 51)","(136.5, 139.0, 158)","(139.0, 141.5, 215)","(141.5, 144.0, 319)","(144.0, 146.5, 815)","(146.5, 149.0, 1235)","(149.0, 151.5, 726)","(151.5, 154.0, 194)","(154.0, 156.5, 11)","(156.5, 159.0, 1)","(146.5, 149.0, 1)"
ABGSHIP,"(5.0, 5.7, 0)","(5.7, 6.4, 50)","(6.4, 7.1, 265)","(7.1, 7.8, 134)","(7.8, 8.5, 489)","(8.5, 9.2, 346)","(9.2, 9.9, 113)","(9.9, 10.6, 81)","(10.6, 11.3, 26)","(11.3, 12.0, 1)","(7.8, 8.5, 1)"
ABMINTLTD,"(23.0, 26.2, 42)","(26.2, 29.4, 18)","(29.4, 32.6, 25)","(32.6, 35.8, 22)","(35.8, 39.0, 35)","(39.0, 42.2, 11)","(42.2, 45.4, 7)","(45.4, 48.6, 7)","(48.6, 51.8, 6)","(51.8, 55.0, 4)","(23.0, 26.2, 4)"
ACC,"(1444.0, 1463.9, 62)","(1463.9, 1483.8, 47)","(1483.8, 1503.7, 90)","(1503.7, 1523.6, 253)","(1523.6, 1543.5, 924)","(1543.5, 1563.4, 955)","(1563.4, 1583.3, 591)","(1583.3, 1603.2, 452)","(1603.2, 1623.1, 249)","(1623.1, 1643.0, 133)","(1543.5, 1563.4, 133)"
ACCELYA,"(1275.0, 1289.3, 105)","(1289.3, 1303.6, 137)","(1303.6, 1317.9, 140)","(1317.9, 1332.2, 479)","(1332.2, 1346.5, 515)","(1346.5, 1360.8, 675)","(1360.8, 1375.1, 359)","(1375.1, 1389.4, 91)","(1389.4, 1403.7, 187)","(1403.7, 1418.0, 6)","(1346.5, 1360.8, 6)"
ACE,"(162.0, 166.3, 122)","(166.3, 170.6, 350)","(170.6, 174.9, 779)","(174.9, 179.2, 789)","(179.2, 183.5, 856)","(183.5, 187.8, 507)","(187.8, 192.1, 231)","(192.1, 196.4, 68)","(196.4, 200.7, 32)","(200.7, 205.0, 17)","(179.2, 183.5, 17)"
ADANIENT,"(123.0, 131.5, 599)","(131.5, 140.0, 696)","(140.0, 148.5, 552)","(148.5, 157.0, 444)","(157.0, 165.5, 888)","(165.5, 174.0, 197)","(174.0, 182.5, 53)","(182.5, 191.0, 25)","(191.0, 199.5, 74)","(199.5, 208.0, 224)","(157.0, 165.5, 224)"
ADANIPORTS,"(351.0, 357.5, 142)","(357.5, 364.0, 221)","(364.0, 370.5, 409)","(370.5, 377.0, 250)","(377.0, 383.5, 660)","(383.5, 390.0, 624)","(390.0, 396.5, 287)","(396.5, 403.0, 117)","(403.0, 409.5, 548)","(409.5, 416.0, 502)","(377.0, 383.5, 502)"
ADANIPOWER,"(21.0, 22.2, 2)","(22.2, 23.4, 64)","(23.4, 24.6, 604)","(24.6, 25.8, 1458)","(25.8, 27.0, 1039)","(27.0, 28.2, 113)","(28.2, 29.4, 171)","(29.4, 30.6, 29)","(30.6, 31.8, 222)","(31.8, 33.0, 49)","(24.6, 25.8, 49)"
ADANITRANS,"(157.0, 162.2, 72)","(162.2, 167.4, 509)","(167.4, 172.6, 626)","(172.6, 177.8, 401)","(177.8, 183.0, 641)","(183.0, 188.2, 427)","(188.2, 193.4, 409)","(193.4, 198.6, 274)","(198.6, 203.8, 340)","(203.8, 209.0, 53)","(177.8, 183.0, 53)"
ADFFOODS,"(192.0, 198.2, 97)","(198.2, 204.4, 142)","(204.4, 210.6, 133)","(210.6, 216.8, 222)","(216.8, 223.0, 267)","(223.0, 229.2, 845)","(229.2, 235.4, 536)","(235.4, 241.6, 898)","(241.6, 247.8, 457)","(247.8, 254.0, 73)","(235.4, 241.6, 73)"
ADHUNIK,"(3.0, 3.3, 44)","(3.3, 3.6, 297)","(3.6, 3.9, 246)","(3.9, 4.2, 365)","(4.2, 4.5, 271)","(4.5, 4.8, 223)","(4.8, 5.1, 108)","(5.1, 5.4, 1)","(5.4, 5.7, 0)","(5.7, 6.0, 0)","(3.9, 4.2, 0)"
ADHUNIKIND,"(60.0, 63.2, 53)","(63.2, 66.4, 149)","(66.4, 69.6, 140)","(69.6, 72.8, 173)","(72.8, 76.0, 251)","(76.0, 79.2, 167)","(79.2, 82.4, 43)","(82.4, 85.6, 35)","(85.6, 88.8, 62)","(88.8, 92.0, 24)","(72.8, 76.0, 24)"
ADLABS,"(44.0, 45.5, 103)","(45.5, 47.0, 254)","(47.0, 48.5, 472)","(48.5, 50.0, 197)","(50.0, 51.5, 425)","(51.5, 53.0, 576)","(53.0, 54.5, 601)","(54.5, 56.0, 491)","(56.0, 57.5, 88)","(57.5, 59.0, 2)","(53.0, 54.5, 2)"
ADORWELD,"(372.0, 381.2, 138)","(381.2, 390.4, 531)","(390.4, 399.6, 500)","(399.6, 408.8, 509)","(408.8, 418.0, 605)","(418.0, 427.2, 341)","(427.2, 436.4, 138)","(436.4, 445.6, 27)","(445.6, 454.8, 5)","(454.8, 464.0, 2)","(408.8, 418.0, 2)"
ADROITINFO,"(28.0, 28.7, 10)","(28.7, 29.4, 33)","(29.4, 30.1, 44)","(30.1, 30.8, 32)","(30.8, 31.5, 21)","(31.5, 32.2, 33)","(32.2, 32.9, 14)","(32.9, 33.6, 26)","(33.6, 34.3, 22)","(34.3, 35.0, 12)","(29.4, 30.1, 12)"
ADSL,"(18.0, 18.8, 104)","(18.8, 19.6, 205)","(19.6, 20.4, 149)","(20.4, 21.2, 228)","(21.2, 22.0, 405)","(22.0, 22.8, 262)","(22.8, 23.6, 156)","(23.6, 24.4, 95)","(24.4, 25.2, 16)","(25.2, 26.0, 1)","(21.2, 22.0, 1)"
ADVANIHOTR,"(53.0, 55.3, 121)","(55.3, 57.6, 220)","(57.6, 59.9, 475)","(59.9, 62.2, 207)","(62.2, 64.5, 123)","(64.5, 66.8, 266)","(66.8, 69.1, 366)","(69.1, 71.4, 205)","(71.4, 73.7, 70)","(73.7, 76.0, 7)","(57.6, 59.9, 7)"
ADVENZYMES,"(207.0, 212.7, 130)","(212.7, 218.4, 377)","(218.4, 224.1, 683)","(224.1, 229.8, 487)","(229.8, 235.5, 490)","(235.5, 241.2, 596)","(241.2, 246.9, 337)","(246.9, 252.6, 433)","(252.6, 258.3, 114)","(258.3, 264.0, 95)","(218.4, 224.1, 95)"
AEGISCHEM,"(227.0, 234.3, 59)","(234.3, 241.6, 181)","(241.6, 248.9, 604)","(248.9, 256.2, 546)","(256.2, 263.5, 287)","(263.5, 270.8, 96)","(270.8, 278.1, 92)","(278.1, 285.4, 866)","(285.4, 292.7, 836)","(292.7, 300.0, 66)","(278.1, 285.4, 66)"
AFL,"(46.0, 47.8, 1)","(47.8, 49.6, 4)","(49.6, 51.4, 103)","(51.4, 53.2, 177)","(53.2, 55.0, 197)","(55.0, 56.8, 124)","(56.8, 58.6, 75)","(58.6, 60.4, 40)","(60.4, 62.2, 96)","(62.2, 64.0, 71)","(53.2, 55.0, 71)"
AGARIND,"(265.0, 279.3, 51)","(279.3, 293.6, 48)","(293.6, 307.9, 36)","(307.9, 322.2, 48)","(322.2, 336.5, 142)","(336.5, 350.8, 241)","(350.8, 365.1, 87)","(365.1, 379.4, 51)","(379.4, 393.7, 111)","(393.7, 408.0, 88)","(336.5, 350.8, 88)"
AGCNET,"(99.0, 103.1, 60)","(103.1, 107.2, 90)","(107.2, 111.3, 120)","(111.3, 115.4, 138)","(115.4, 119.5, 125)","(119.5, 123.6, 131)","(123.6, 127.7, 49)","(127.7, 131.8, 98)","(131.8, 135.9, 85)","(135.9, 140.0, 13)","(111.3, 115.4, 13)"
AGLSL,"(94.0, 96.0, 18)","(96.0, 98.0, 73)","(98.0, 100.0, 202)","(100.0, 102.0, 257)","(102.0, 104.0, 217)","(104.0, 106.0, 150)","(106.0, 108.0, 123)","(108.0, 110.0, 112)","(110.0, 112.0, 17)","(112.0, 114.0, 4)","(100.0, 102.0, 4)"
AGRITECH,"(115.0, 119.0, 60)","(119.0, 123.0, 291)","(123.0, 127.0, 181)","(127.0, 131.0, 417)","(131.0, 135.0, 522)","(135.0, 139.0, 642)","(139.0, 143.0, 518)","(143.0, 147.0, 324)","(147.0, 151.0, 351)","(151.0, 155.0, 102)","(135.0, 139.0, 102)"
AHLEAST,"(250.0, 264.1, 84)","(264.1, 278.2, 152)","(278.2, 292.3, 128)","(292.3, 306.4, 41)","(306.4, 320.5, 41)","(320.5, 334.6, 20)","(334.6, 348.7, 49)","(348.7, 362.8, 103)","(362.8, 376.9, 185)","(376.9, 391.0, 48)","(362.8, 376.9, 48)"
AHLUCONT,"(362.0, 370.1, 361)","(370.1, 378.2, 304)","(378.2, 386.3, 292)","(386.3, 394.4, 266)","(394.4, 402.5, 163)","(402.5, 410.6, 193)","(410.6, 418.7, 250)","(418.7, 426.8, 639)","(426.8, 434.9, 83)","(434.9, 443.0, 44)","(418.7, 426.8, 44)"
AHLWEST,"(255.0, 271.9, 231)","(271.9, 288.8, 60)","(288.8, 305.7, 28)","(305.7, 322.6, 61)","(322.6, 339.5, 41)","(339.5, 356.4, 98)","(356.4, 373.3, 74)","(373.3, 390.2, 21)","(390.2, 407.1, 128)","(407.1, 424.0, 71)","(255.0, 271.9, 71)"
AIAENG,"(1348.0, 1360.2, 95)","(1360.2, 1372.4, 48)","(1372.4, 1384.6, 96)","(1384.6, 1396.8, 98)","(1396.8, 1409.0, 354)","(1409.0, 1421.2, 1032)","(1421.2, 1433.4, 547)","(1433.4, 1445.6, 728)","(1445.6, 1457.8, 148)","(1457.8, 1470.0, 71)","(1409.0, 1421.2, 71)"
AICHAMP,"(26.0, 27.3, 1)","(27.3, 28.6, 5)","(28.6, 29.9, 12)","(29.9, 31.2, 8)","(31.2, 32.5, 3)","(32.5, 33.8, 1)","(33.8, 35.1, 2)","(35.1, 36.4, 0)","(36.4, 37.7, 1)","(37.7, 39.0, 1)","(28.6, 29.9, 1)"
AIFL,"(442.0, 449.9, 270)","(449.9, 457.8, 524)","(457.8, 465.7, 651)","(465.7, 473.6, 621)","(473.6, 481.5, 492)","(481.5, 489.4, 189)","(489.4, 497.3, 150)","(497.3, 505.2, 75)","(505.2, 513.1, 84)","(513.1, 521.0, 30)","(457.8, 465.7, 30)"
AJANTPHARM,"(1052.0, 1092.6, 145)","(1092.6, 1133.2, 66)","(1133.2, 1173.8, 227)","(1173.8, 1214.4, 36)","(1214.4, 1255.0, 50)","(1255.0, 1295.6, 42)","(1295.6, 1336.2, 250)","(1336.2, 1376.8, 1153)","(1376.8, 1417.4, 1682)","(1417.4, 1458.0, 97)","(1376.8, 1417.4, 97)"
AJMERA,"(228.0, 234.0, 137)","(234.0, 240.0, 509)","(240.0, 246.0, 465)","(246.0, 252.0, 607)","(252.0, 258.0, 329)","(258.0, 264.0, 219)","(264.0, 270.0, 564)","(270.0, 276.0, 291)","(276.0, 282.0, 380)","(282.0, 288.0, 129)","(246.0, 252.0, 129)"
AKSHARCHEM,"(590.0, 599.4, 286)","(599.4, 608.8, 681)","(608.8, 618.2, 679)","(618.2, 627.6, 239)","(627.6, 637.0, 360)","(637.0, 646.4, 146)","(646.4, 655.8, 195)","(655.8, 665.2, 106)","(665.2, 674.6, 28)","(674.6, 684.0, 2)","(599.4, 608.8, 2)"
AKSHOPTFBR,"(29.0, 30.0, 44)","(30.0, 31.0, 96)","(31.0, 32.0, 196)","(32.0, 33.0, 479)","(33.0, 34.0, 581)","(34.0, 35.0, 464)","(35.0, 36.0, 457)","(36.0, 37.0, 752)","(37.0, 38.0, 573)","(38.0, 39.0, 89)","(36.0, 37.0, 89)"
AKZOINDIA,"(1742.0, 1767.2, 344)","(1767.2, 1792.4, 437)","(1792.4, 1817.6, 364)","(1817.6, 1842.8, 137)","(1842.8, 1868.0, 30)","(1868.0, 1893.2, 38)","(1893.2, 1918.4, 369)","(1918.4, 1943.6, 1201)","(1943.6, 1968.8, 161)","(1968.8, 1994.0, 35)","(1918.4, 1943.6, 35)"
ALANKIT,"(31.0, 33.8, 150)","(33.8, 36.6, 186)","(36.6, 39.4, 129)","(39.4, 42.2, 289)","(42.2, 45.0, 1024)","(45.0, 47.8, 744)","(47.8, 50.6, 541)","(50.6, 53.4, 75)","(53.4, 56.2, 97)","(56.2, 59.0, 139)","(42.2, 45.0, 139)"
ALBERTDAVD,"(347.0, 352.6, 30)","(352.6, 358.2, 25)","(358.2, 363.8, 34)","(363.8, 369.4, 81)","(369.4, 375.0, 108)","(375.0, 380.6, 180)","(380.6, 386.2, 113)","(386.2, 391.8, 23)","(391.8, 397.4, 10)","(397.4, 403.0, 2)","(375.0, 380.6, 2)"
ALBK,"(43.0, 44.3, 62)","(44.3, 45.6, 164)","(45.6, 46.9, 315)","(46.9, 48.2, 697)","(48.2, 49.5, 822)","(49.5, 50.8, 655)","(50.8, 52.1, 500)","(52.1, 53.4, 238)","(53.4, 54.7, 217)","(54.7, 56.0, 87)","(48.2, 49.5, 87)"
ALCHEM,"(7.0, 7.5, 0)","(7.5, 8.0, 10)","(8.0, 8.5, 24)","(8.5, 9.0, 152)","(9.0, 9.5, 166)","(9.5, 10.0, 69)","(10.0, 10.5, 64)","(10.5, 11.0, 77)","(11.0, 11.5, 49)","(11.5, 12.0, 1)","(9.0, 9.5, 1)"
ALEMBICLTD,"(50.0, 51.4, 48)","(51.4, 52.8, 99)","(52.8, 54.2, 403)","(54.2, 55.6, 528)","(55.6, 57.0, 430)","(57.0, 58.4, 519)","(58.4, 59.8, 379)","(59.8, 61.2, 193)","(61.2, 62.6, 727)","(62.6, 64.0, 414)","(61.2, 62.6, 414)"
ALICON,"(550.0, 562.5, 67)","(562.5, 575.0, 85)","(575.0, 587.5, 189)","(587.5, 600.0, 157)","(600.0, 612.5, 357)","(612.5, 625.0, 172)","(625.0, 637.5, 137)","(637.5, 650.0, 118)","(650.0, 662.5, 172)","(662.5, 675.0, 44)","(600.0, 612.5, 44)"
ALKALI,"(56.0, 59.6, 15)","(59.6, 63.2, 94)","(63.2, 66.8, 49)","(66.8, 70.4, 82)","(70.4, 74.0, 102)","(74.0, 77.6, 442)","(77.6, 81.2, 1021)","(81.2, 84.8, 322)","(84.8, 88.4, 108)","(88.4, 92.0, 44)","(77.6, 81.2, 44)"
ALKEM,"(1744.0, 1796.9, 612)","(1796.9, 1849.8, 161)","(1849.8, 1902.7, 240)","(1902.7, 1955.6, 474)","(1955.6, 2008.5, 480)","(2008.5, 2061.4, 315)","(2061.4, 2114.3, 273)","(2114.3, 2167.2, 276)","(2167.2, 2220.1, 527)","(2220.1, 2273.0, 334)","(1744.0, 1796.9, 334)"
ALKYLAMINE,"(595.0, 608.5, 275)","(608.5, 622.0, 404)","(622.0, 635.5, 344)","(635.5, 649.0, 143)","(649.0, 662.5, 186)","(662.5, 676.0, 119)","(676.0, 689.5, 79)","(689.5, 703.0, 20)","(703.0, 716.5, 37)","(716.5, 730.0, 36)","(608.5, 622.0, 36)"
ALLCARGO,"(125.0, 130.8, 99)","(130.8, 136.6, 410)","(136.6, 142.4, 231)","(142.4, 148.2, 302)","(148.2, 154.0, 1502)","(154.0, 159.8, 442)","(159.8, 165.6, 382)","(165.6, 171.4, 88)","(171.4, 177.2, 134)","(177.2, 183.0, 155)","(148.2, 154.0, 155)"
ALLSEC,"(323.0, 331.4, 88)","(331.4, 339.8, 492)","(339.8, 348.2, 421)","(348.2, 356.6, 222)","(356.6, 365.0, 192)","(365.0, 373.4, 363)","(373.4, 381.8, 188)","(381.8, 390.2, 120)","(390.2, 398.6, 0)","(398.6, 407.0, 4)","(331.4, 339.8, 4)"
ALMONDZ,"(21.0, 22.1, 11)","(22.1, 23.2, 66)","(23.2, 24.3, 128)","(24.3, 25.4, 123)","(25.4, 26.5, 133)","(26.5, 27.6, 77)","(27.6, 28.7, 53)","(28.7, 29.8, 100)","(29.8, 30.9, 98)","(30.9, 32.0, 21)","(25.4, 26.5, 21)"
ALOKTEXT,"(1.0, 1.4, 0)","(1.4, 1.8, 212)","(1.8, 2.2, 375)","(2.2, 2.6, 300)","(2.6, 3.0, 785)","(3.0, 3.4, 1407)","(3.4, 3.8, 160)","(3.8, 4.2, 245)","(4.2, 4.6, 192)","(4.6, 5.0, 0)","(3.0, 3.4, 0)"
ALPA,"(34.0, 35.1, 43)","(35.1, 36.2, 100)","(36.2, 37.3, 113)","(37.3, 38.4, 433)","(38.4, 39.5, 302)","(39.5, 40.6, 469)","(40.6, 41.7, 296)","(41.7, 42.8, 116)","(42.8, 43.9, 100)","(43.9, 45.0, 48)","(39.5, 40.6, 48)"
ALPHAGEO,"(713.0, 726.5, 89)","(726.5, 740.0, 106)","(740.0, 753.5, 204)","(753.5, 767.0, 357)","(767.0, 780.5, 641)","(780.5, 794.0, 473)","(794.0, 807.5, 710)","(807.5, 821.0, 718)","(821.0, 834.5, 152)","(834.5, 848.0, 6)","(807.5, 821.0, 6)"
ALPSINDUS,"(2.0, 2.3, 10)","(2.3, 2.6, 75)","(2.6, 2.9, 73)","(2.9, 3.2, 132)","(3.2, 3.5, 151)","(3.5, 3.8, 41)","(3.8, 4.1, 189)","(4.1, 4.4, 147)","(4.4, 4.7, 20)","(4.7, 5.0, 0)","(3.8, 4.1, 0)"
AMARAJABAT,"(769.0, 782.4, 230)","(782.4, 795.8, 447)","(795.8, 809.2, 883)","(809.2, 822.6, 704)","(822.6, 836.0, 174)","(836.0, 849.4, 280)","(849.4, 862.8, 393)","(862.8, 876.2, 419)","(876.2, 889.6, 164)","(889.6, 903.0, 60)","(795.8, 809.2, 60)"
AMBER,"(1066.0, 1079.5, 294)","(1079.5, 1093.0, 440)","(1093.0, 1106.5, 597)","(1106.5, 1120.0, 704)","(1120.0, 1133.5, 598)","(1133.5, 1147.0, 288)","(1147.0, 1160.5, 144)","(1160.5, 1174.0, 205)","(1174.0, 1187.5, 326)","(1187.5, 1201.0, 86)","(1106.5, 1120.0, 86)"
AMBIKCO,"(1272.0, 1289.4, 183)","(1289.4, 1306.8, 479)","(1306.8, 1324.2, 470)","(1324.2, 1341.6, 100)","(1341.6, 1359.0, 219)","(1359.0, 1376.4, 346)","(1376.4, 1393.8, 424)","(1393.8, 1411.2, 187)","(1411.2, 1428.6, 57)","(1428.6, 1446.0, 14)","(1289.4, 1306.8, 14)"
AMBUJACEM,"(215.0, 219.2, 119)","(219.2, 223.4, 93)","(223.4, 227.6, 126)","(227.6, 231.8, 389)","(231.8, 236.0, 511)","(236.0, 240.2, 842)","(240.2, 244.4, 698)","(244.4, 248.6, 631)","(248.6, 252.8, 274)","(252.8, 257.0, 73)","(236.0, 240.2, 73)"
AMDIND,"(25.0, 27.1, 58)","(27.1, 29.2, 401)","(29.2, 31.3, 310)","(31.3, 33.4, 149)","(33.4, 35.5, 113)","(35.5, 37.6, 101)","(37.6, 39.7, 18)","(39.7, 41.8, 73)","(41.8, 43.9, 339)","(43.9, 46.0, 67)","(27.1, 29.2, 67)"
AMJLAND,"(22.0, 23.4, 65)","(23.4, 24.8, 285)","(24.8, 26.2, 343)","(26.2, 27.6, 254)","(27.6, 29.0, 146)","(29.0, 30.4, 122)","(30.4, 31.8, 41)","(31.8, 33.2, 52)","(33.2, 34.6, 78)","(34.6, 36.0, 2)","(24.8, 26.2, 2)"
AMRUTANJAN,"(268.0, 301.2, 1057)","(301.2, 334.4, 177)","(334.4, 367.6, 0)","(367.6, 400.8, 0)","(400.8, 434.0, 0)","(434.0, 467.2, 0)","(467.2, 500.4, 0)","(500.4, 533.6, 0)","(533.6, 566.8, 896)","(566.8, 600.0, 406)","(268.0, 301.2, 406)"
AMTEKAUTO,"(11.0, 12.7, 197)","(12.7, 14.4, 346)","(14.4, 16.1, 183)","(16.1, 17.8, 138)","(17.8, 19.5, 142)","(19.5, 21.2, 473)","(21.2, 22.9, 693)","(22.9, 24.6, 859)","(24.6, 26.3, 479)","(26.3, 28.0, 56)","(22.9, 24.6, 56)"
ANANTRAJ,"(40.0, 41.7, 65)","(41.7, 43.4, 272)","(43.4, 45.1, 270)","(45.1, 46.8, 79)","(46.8, 48.5, 544)","(48.5, 50.2, 945)","(50.2, 51.9, 822)","(51.9, 53.6, 307)","(53.6, 55.3, 235)","(55.3, 57.0, 210)","(48.5, 50.2, 210)"
ANDHRABANK,"(33.0, 34.4, 45)","(34.4, 35.8, 60)","(35.8, 37.2, 250)","(37.2, 38.6, 633)","(38.6, 40.0, 531)","(40.0, 41.4, 313)","(41.4, 42.8, 652)","(42.8, 44.2, 813)","(44.2, 45.6, 324)","(45.6, 47.0, 135)","(42.8, 44.2, 135)"
ANDHRACEMT,"(9.0, 9.4, 93)","(9.4, 9.8, 189)","(9.8, 10.2, 502)","(10.2, 10.6, 511)","(10.6, 11.0, 474)","(11.0, 11.4, 624)","(11.4, 11.8, 521)","(11.8, 12.2, 90)","(12.2, 12.6, 19)","(12.6, 13.0, 0)","(11.0, 11.4, 0)"
ANDHRSUGAR,"(364.0, 378.4, 64)","(378.4, 392.8, 135)","(392.8, 407.2, 298)","(407.2, 421.6, 621)","(421.6, 436.0, 219)","(436.0, 450.4, 1066)","(450.4, 464.8, 713)","(464.8, 479.2, 73)","(479.2, 493.6, 108)","(493.6, 508.0, 177)","(436.0, 450.4, 177)"
ANGIND,"(2.0, 2.5, 0)","(2.5, 3.0, 14)","(3.0, 3.5, 48)","(3.5, 4.0, 168)","(4.0, 4.5, 124)","(4.5, 5.0, 165)","(5.0, 5.5, 192)","(5.5, 6.0, 56)","(6.0, 6.5, 7)","(6.5, 7.0, 0)","(5.0, 5.5, 0)"
ANIKINDS,"(29.0, 31.4, 30)","(31.4, 33.8, 241)","(33.8, 36.2, 523)","(36.2, 38.6, 387)","(38.6, 41.0, 121)","(41.0, 43.4, 152)","(43.4, 45.8, 101)","(45.8, 48.2, 186)","(48.2, 50.6, 19)","(50.6, 53.0, 41)","(33.8, 36.2, 41)"
ANSALAPI,"(18.0, 18.6, 38)","(18.6, 19.2, 38)","(19.2, 19.8, 140)","(19.8, 20.4, 293)","(20.4, 21.0, 594)","(21.0, 21.6, 451)","(21.6, 22.2, 383)","(22.2, 22.8, 301)","(22.8, 23.4, 217)","(23.4, 24.0, 43)","(20.4, 21.0, 43)"
